City,Lat,Lng,Max Temp,Humidity,Clouds,Wind,Country,Date
port keats,-14.25,129.55,91.69,54,80,4.36,AU,1607392231
billings,45.78,-108.5,46.4,20,75,23.04,US,1607391981
puerto narino,-3.77,-70.38,78.8,100,75,2.24,CO,1607392231
rosetta,31.4,30.42,68.0,72,0,8.05,EG,1607392231
mandalgovi,45.76,106.27,-5.6,84,0,9.04,MN,1607392231
vila velha,-20.33,-40.29,78.01,83,20,8.05,BR,1607392231
high level,58.52,-117.14,37.4,93,75,5.82,CA,1607392231
naerbo,58.67,5.65,48.2,66,75,23.04,NO,1607392231
westport,41.14,-73.36,33.8,59,1,6.93,US,1607392192
tomaszow lubelski,50.45,23.42,28.0,83,93,13.0,PL,1607391986
barranca,-10.75,-77.77,65.75,86,100,5.66,PE,1607392222
pierre,44.37,-100.35,45.0,41,1,6.93,US,1607392187
riyadh,24.69,46.72,48.2,76,0,2.24,SA,1607392180
eagle pass,28.71,-100.5,62.01,31,0,4.0,US,1607392232
berlevag,70.86,29.09,29.48,95,54,15.66,NO,1607392232
zaozerne,45.16,33.28,37.44,84,0,22.5,UA,1607392232
amuntai,-2.42,115.25,91.62,57,100,1.03,ID,1607392232
crotone,39.09,17.12,48.0,77,2,8.99,IT,1607392232
chumikan,54.72,135.31,-0.29,85,0,21.52,RU,1607392233
glyadyanskoye,54.91,65.09,20.59,97,100,8.48,RU,1607392233
montrose,38.42,-108.27,30.99,42,1,3.36,US,1607392233
luzilandia,-3.46,-42.37,78.76,79,100,2.62,BR,1607392233
oksfjord,70.24,22.35,32.0,85,100,8.05,NO,1607392233
isiolo,0.35,37.58,66.27,74,41,3.76,KE,1607392233
asyut,27.18,31.18,59.0,51,0,4.7,EG,1607392233
prainha,-1.8,-53.48,75.65,88,94,3.0,BR,1607392233
roma,43.21,-75.46,25.0,73,90,9.17,US,1607392234
mahanoro,-19.9,48.8,74.3,91,100,5.73,MG,1607392234
civitavecchia,42.09,11.8,46.99,91,100,13.0,IT,1607392234
bam,29.11,58.36,49.17,55,83,7.96,IR,1607392234
murmashi,68.82,32.81,24.8,100,75,1.7,RU,1607392234
sawtell,-30.38,153.1,81.0,60,57,11.41,AU,1607392234
buerarema,-14.96,-39.3,78.8,74,20,4.7,BR,1607392234
haines junction,60.75,-137.51,30.2,92,51,6.93,CA,1607392234
hobyo,5.35,48.53,78.67,71,96,13.56,SO,1607392234
arcachon,44.59,-1.05,50.0,87,97,18.21,FR,1607392235
gornozavodsk,58.38,58.32,16.32,97,100,6.31,RU,1607392235
kirillov,59.86,38.38,16.93,93,5,6.96,RU,1607392235
gbadolite,4.28,21.02,71.31,40,88,3.02,CD,1607392235
ilheus,-14.79,-39.05,78.8,74,20,4.7,BR,1607392219
surt,31.21,16.59,56.05,39,0,11.61,LY,1607392235
zyryanka,65.75,150.85,-22.59,87,89,4.92,RU,1607392196
lac du bonnet,50.25,-96.06,28.0,92,100,6.93,CA,1607392235
dukat,62.55,155.55,-14.06,89,79,1.79,RU,1607392235
ust-uda,54.17,103.03,11.14,92,100,4.09,RU,1607392235
kushiro,42.98,144.37,35.6,47,20,11.41,JP,1607392236
rey bouba,8.67,14.18,73.36,32,0,2.24,CM,1607392236
yaan,7.38,8.57,78.46,71,96,7.47,NG,1607392236
manzhouli,49.6,117.43,7.48,86,0,8.63,CN,1607392236
port blair,11.67,92.75,81.37,71,55,12.86,IN,1607392182
dumbraveni,46.23,24.57,37.4,64,100,5.82,RO,1607392236
pacasmayo,-7.4,-79.57,68.2,80,100,10.78,PE,1607392236
cacule,-14.5,-42.22,72.61,74,95,2.1,BR,1607392236
knysna,-34.04,23.05,64.4,100,20,6.93,ZA,1607392237
hambantota,6.12,81.12,75.2,100,40,2.24,LK,1607392237
erzin,36.96,36.2,54.0,82,38,10.0,TR,1607392237
angoche,-16.23,39.91,78.64,84,90,6.69,MZ,1607392237
saldanha,-33.01,17.94,61.97,95,36,7.99,ZA,1607392175
songjianghe,42.19,127.48,17.62,75,0,6.53,CN,1607392237
mount gambier,-37.83,140.77,57.2,62,90,13.87,AU,1607392237
shimoda,34.67,138.95,55.0,67,0,1.99,JP,1607392237
houston,29.76,-95.36,59.0,38,75,9.17,US,1607392170
alice springs,-23.7,133.88,86.0,16,0,17.22,AU,1607392160
pyinmana,19.73,96.22,69.48,70,0,3.33,MM,1607392237
camargo,27.67,-105.17,51.24,41,0,7.09,MX,1607392237
huilong,31.81,121.66,51.01,74,77,1.01,CN,1607392238
kavarna,43.43,28.33,39.2,86,90,18.34,BG,1607392238
sangar,63.92,127.47,-21.15,85,93,4.05,RU,1607392238
kiruna,67.86,20.23,15.8,92,90,1.99,SE,1607392238
avigliana,45.08,7.4,41.0,91,100,2.04,IT,1607392238
mao,39.89,4.27,57.2,58,61,14.99,ES,1607392238
greenwood,34.17,-82.12,39.99,93,20,3.36,US,1607392238
saint-ambroise,48.55,-71.33,24.8,79,49,10.29,CA,1607392238
mimoso do sul,-21.06,-41.37,73.2,90,100,2.55,BR,1607392239
santa maria,-29.68,-53.81,69.8,77,40,8.05,BR,1607392188
arona,28.1,-16.68,64.99,63,40,9.17,ES,1607392239
chimbarongo,-34.7,-71.05,62.6,59,0,2.24,CL,1607392168
oyama,36.3,139.8,57.0,66,20,6.93,JP,1607392107
kedrovyy,56.17,91.82,15.8,78,40,15.66,RU,1607392239
vanimo,-2.67,141.3,86.76,64,100,4.65,PG,1607392240
sinait,17.87,120.46,82.4,83,75,1.12,PH,1607392240
flinders,-34.58,150.86,72.0,45,50,8.99,AU,1607392240
port augusta,-32.5,137.77,68.0,55,1,11.41,AU,1607392240
vestmannaeyjar,63.44,-20.27,39.88,89,100,24.85,IS,1607392240
bajil,15.06,43.29,77.88,72,11,4.03,YE,1607392240
irbil,36.19,44.01,48.38,57,0,2.82,IQ,1607392240
the valley,18.22,-63.06,79.0,74,20,5.82,AI,1607392240
plover,44.46,-89.54,28.99,74,90,4.54,US,1607392240
hofn,64.25,-15.21,31.55,87,0,5.97,IS,1607392241
merauke,-8.47,140.33,77.07,91,100,8.39,ID,1607392241
daryapur,20.93,77.33,64.27,49,27,5.55,IN,1607392241
saint-joseph,-21.37,55.62,75.2,69,0,3.36,RE,1607392241
tautira,-17.73,-149.15,77.0,78,75,4.7,PF,1607392241
kapiri mposhi,-13.97,28.68,63.07,96,100,5.59,ZM,1607392241
bati,11.18,40.02,60.64,92,10,1.43,ET,1607392241
santa quiteria do maranhao,-3.52,-42.55,77.79,83,100,3.22,BR,1607392095
ust-kuyga,70.02,135.6,-35.05,80,1,4.56,RU,1607392241
sharjah,25.36,55.4,75.2,47,40,6.93,AE,1607392241
krasnoselkup,65.7,82.47,-11.52,88,81,18.57,RU,1607392242
mikhaylovka,50.06,43.24,14.07,88,0,6.73,RU,1607392242
lake havasu city,34.48,-114.32,66.2,12,1,5.82,US,1607392242
gotsu,35.0,132.22,50.0,61,75,9.17,JP,1607392242
plettenberg bay,-34.05,23.37,66.07,92,18,7.87,ZA,1607392242
ambon,-3.7,128.18,89.6,66,20,5.82,ID,1607392242
honiton,50.8,-3.19,33.01,92,20,2.24,GB,1607392242
bushehr,28.97,50.84,64.4,55,0,19.46,IR,1607392242
constantine,36.37,6.61,48.2,70,40,13.87,DZ,1607392242
belmonte,-15.86,-38.88,75.2,78,0,8.05,BR,1607392243
faya,18.39,42.45,51.8,66,0,0.74,SA,1607392243
araouane,18.9,-3.53,66.69,29,5,8.68,ML,1607392243
altea,38.6,-0.05,59.0,55,1,7.0,ES,1607392243
lagos,6.58,3.75,75.2,88,75,3.78,NG,1607392243
roata de jos,44.41,25.54,30.99,92,90,12.75,RO,1607392243
ixtapa,20.7,-105.2,75.2,83,40,3.36,MX,1607392187
amahai,-3.33,128.92,87.57,64,87,2.68,ID,1607392243
lisakovsk,52.54,62.49,13.62,94,8,7.23,KZ,1607392069
mwingi,-0.93,38.06,64.65,93,94,2.64,KE,1607392243
dryden,49.78,-92.75,24.8,100,90,8.05,CA,1607392244
damietta,31.42,31.81,60.8,82,0,4.7,EG,1607392045
lingyuan,41.24,119.4,12.31,78,0,2.68,CN,1607392244
puerto colombia,10.99,-74.95,80.6,94,40,11.41,CO,1607392244
ambilobe,-13.2,49.05,74.34,83,78,3.24,MG,1607392244
jinji,23.23,110.83,56.7,54,0,5.82,CN,1607392244
kaduqli,11.02,29.72,70.93,22,83,11.1,SD,1607392244
adamovka,51.52,59.94,9.79,89,0,4.43,RU,1607392244
dudinka,69.41,86.18,-14.8,75,90,31.32,RU,1607392244
maningrida,-12.07,134.27,93.36,48,2,6.46,AU,1607392244
belomorsk,64.52,34.77,27.12,93,98,9.95,RU,1607392245
ahipara,-35.17,173.17,73.2,68,3,12.88,NZ,1607392245
luderitz,-26.65,15.16,60.67,92,81,3.47,NA,1607392183
camacha,33.08,-16.33,62.6,88,40,8.05,PT,1607392245
neiafu,-18.65,-173.98,82.4,78,75,14.99,TO,1607392245
braniewo,54.38,19.82,30.7,89,31,20.92,PL,1607392245
puerto escondido,15.85,-97.07,78.8,74,40,4.12,MX,1607392245
awjilah,29.11,21.29,49.75,49,0,5.17,LY,1607392245
mana,5.66,-53.78,78.15,86,98,6.13,GF,1607392245
yeppoon,-23.13,150.73,89.6,55,40,12.75,AU,1607392245
borzya,50.38,116.52,4.77,91,39,6.76,RU,1607392245
migori,-1.06,34.47,60.67,87,38,5.91,KE,1607392246
mejorada del campo,40.39,-3.48,43.0,81,40,11.41,ES,1607392246
ajdabiya,30.76,20.23,56.32,38,0,6.02,LY,1607392246
marshalltown,42.05,-92.91,32.0,92,90,3.78,US,1607392246
ramsar,36.92,50.64,44.6,87,20,2.24,IR,1607392246
usinsk,65.99,57.53,24.94,99,93,4.23,RU,1607392246
rawson,-43.3,-65.1,69.8,60,75,13.87,AR,1607392019
